X;mesto;rbd;HousMembers;Age;NumbRooms;FloorSpace;Conso;ElecYN;Heating;LaveLinge;Clim;LaveVaisselle;Frigo;Freezer;Micronde;Aspirateur;TV;PC;income;Statut;Urban;Loc1;Loc2;Loc3;Loc4;Loc5;Loc6
6;1;1;8;32;1;25;2001;Yes;1;0;0;0;1;0;0;0;1;0;5842;1;1;1;0;0;0;0;0
66;1;11;5;37;5;100;1201;Yes;1;2;0;0;2;2;0;2;2;0;29148;0;1;1;0;0;0;0;0
69;1;11;5;37;5;100;1201;Yes;1;2;0;0;2;2;0;2;2;0;29148;1;1;1;0;0;0;0;0
92;1;2;4;44;1;29;1501;Yes;1;1;0;0;1;0;0;1;1;0;12806;1;1;1;0;0;0;0;0
109;1;3;5;37;1;32;561;Yes;1;1;0;0;1;0;0;1;1;0;14163;1;1;0;1;0;0;0;0
132;1;4;3;52;1;30;3101;Yes;1;1;0;0;1;1;0;1;1;0;24474;1;1;0;1;0;0;0;0
143;1;5;3;33;3;65;6001;Yes;0;1;1;0;1;2;0;1;1;1;13984;1;1;0;1;0;0;0;0
150;1;6;4;42;2;48;1201;Yes;1;1;0;0;1;0;0;1;1;0;35136;1;1;0;1;0;0;0;0
153;1;6;4;42;2;48;1201;Yes;1;1;0;0;1;0;0;1;1;0;35136;0;1;0;1;0;0;0;0
167;1;7;3;55;3;45;701;Yes;0;1;0;0;1;1;0;1;1;0;12287;1;1;0;1;0;0;0;0
176;1;8;3;40;2;57;201;Yes;0;1;0;0;1;0;0;1;1;0;14055;1;1;0;1;0;0;0;0
185;1;9;4;55;3;55;301;Yes;0;0;0;0;1;0;0;1;1;0;9475;1;1;0;1;0;0;0;0
202;10;11;3;24;3;78;501;Yes;0;1;0;0;1;1;0;0;1;0;35912;1;1;0;0;1;0;0;0
216;10;3;4;15;1;37;301;Yes;0;1;0;0;1;1;0;0;1;0;18577;0;1;0;0;1;0;0;0
218;10;3;4;15;1;37;301;Yes;0;1;0;0;1;1;0;0;1;0;18577;1;1;0;0;1;0;0;0
