X;DistCode;SerialNum;HousMembers;Age;NumbRooms;FloorSpace;Conso;ElecYN;Loc1;Loc2;Loc3;Loc4;Loc5;Loc6;ElecCookYN;Poele;LaveLinge;Clim;LaveVaisselle;Frigo;Freezer;FrigoFreezer;Micronde;Aspirateur;FerRepasser;Antenne;TV;VideoRecord;VideoCamera;CD;Radio;PC;income
1;1;1;8;1970;1;25;2001;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;5842,096165
9;1;10;1;1982;3;60;501;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;6853,416565
10;1;11;5;1965;5;100;1201;1;1;0;0;0;0;0;1;2;2;0;0;2;2;0;0;2;0;0;2;1;0;0;1;0;29148,40788
15;1;2;4;1958;1;29;1501;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;12805,92828
19;1;3;5;1965;1;32;561;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;14162,97273
24;1;4;3;1950;1;30;3101;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;24473,87789
27;1;5;3;1969;3;65;6001;1;1;0;0;0;0;0;0;1;1;1;0;1;2;0;0;1;0;0;1;1;0;1;1;1;13983,63622
30;1;6;4;1960;2;48;1201;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;35135,81691
34;1;7;3;1947;3;45;701;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;12286,63018
37;1;8;3;1962;2;57;201;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;14055,17864
40;1;9;4;1947;3;55;301;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;9474,788106
44;10;1;1;1987;3;78;701;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;12747,85167
45;10;10;1;1978;2;55;201;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;0;0;0;0;0;12920,11555
46;10;11;3;1978;3;78;501;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;0;35912,4875
49;10;2;2;1987;1;39;201;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;14440,06
51;10;3;4;1987;1;37;301;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;18576,75825
55;10;4;3;1987;2;50;301;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;19327,90203
58;10;5;5;1978;3;78;201;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;28276,02663
63;10;6;4;1978;2;55;201;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;11011,83903
67;10;7;3;1978;2;60;401;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;2;1;0;1;0;0;22457,17303
70;10;8;4;1987;2;49;501;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;19086,835
74;10;9;1;1978;2;56;201;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;10453,03378
75;100;1;5;1968;3;84;801;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;26488,94775
80;100;10;4;1969;5;100;501;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;1;2;1;0;0;0;1;21099,70844
84;100;11;4;1967;3;56;901;1;0;1;0;0;0;0;0;2;1;0;0;1;2;0;0;1;0;0;1;3;0;1;2;0;7124,47483
88;100;2;5;1969;3;75;2201;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;31175,93875
93;100;3;2;1968;3;76;13419;1;0;1;0;0;0;0;0;2;1;0;0;2;1;0;0;3;0;0;2;0;0;0;1;0;18959,41179
95;100;4;5;1968;3;70;501;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;2;1;0;1;0;0;22770,06337
100;100;5;3;1968;2;40;3001;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;23638,04633
103;100;6;4;1969;4;90;701;1;0;1;0;0;0;0;0;1;1;0;0;1;2;0;1;1;0;1;2;2;0;1;0;1;49825,5116
107;100;7;1;1968;1;55;198;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;8415,9875
108;100;8;1;1968;1;45;301;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;8876,899
109;100;9;1;1968;2;70;501;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;10675,53075
110;101;1;2;1972;4;80;3001;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;11948,54
112;101;10;4;1974;4;100;2801;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;2;0;0;1;1;0;63869,3465
116;101;11;3;1971;3;75;2501;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;35854,695
119;101;2;3;1974;4;90;2501;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;2;1;0;1;1;0;40994,24255
122;101;3;4;1976;4;100;3001;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;2;1;0;1;1;0;62116,94358
126;101;4;3;1979;3;80;2501;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;38294,23
129;101;5;2;1984;4;90;2501;1;0;1;0;0;0;0;1;5;1;0;0;0;1;1;0;1;0;0;1;1;0;1;1;1;37185,83432
131;101;6;4;1981;5;100;3001;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;1;2;1;0;1;1;0;46883,04607
135;101;7;2;1967;3;75;2001;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;26655,6955
137;101;8;6;1980;4;84;1601;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;2;0;1;2;1;0;2;0;1;44145,2137
143;101;9;2;1966;3;70;2001;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;26441,23824
145;102;1;4;1974;2;46;1121;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;27613,1825
149;102;10;2;1974;2;54;321;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;14321,085
151;102;11;3;1974;2;54;501;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;28643,37625
154;102;2;3;1974;2;54;546;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;15876,38926
157;102;3;3;1974;1;46;301;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;30733,211
160;102;5;3;1974;1;33;521;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;14036,67
163;102;6;2;1974;2;54;551;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;29705,4384
165;102;7;5;1974;2;47;1101;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;30390,93825
170;102;8;3;1974;2;54;361;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;10115,278
173;102;9;2;1974;2;54;301;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;15850,0425
175;103;1;6;1980;2;61;601;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;48356,9698
181;103;10;7;1980;3;72;801;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;0;1;0;32226,37824
188;103;11;1;1980;3;70;501;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;11254,443
189;103;2;3;1980;3;78;601;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;23253,65308
192;103;3;1;1980;2;61;301;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;11823,98492
193;103;4;2;1980;3;66;501;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;13029,77935
195;103;5;1;1980;2;61;301;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;9344,997
196;103;6;10;1980;3;78;601;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;43999,07869
206;103;8;3;1980;2;47;1301;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;23519,98875
209;103;9;5;1980;2;61;501;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;33991,73876
214;104;1;3;2000;2;70;301;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;14043,29333
217;104;10;3;1979;1;46;1501;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;20126,45175
220;104;11;4;1979;2;59;1201;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;1;0;1;32933,03908
224;104;2;2;2000;3;62;601;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;14191,562
226;104;3;2;1979;1;36;551;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;14777,31675
228;104;4;2;1979;2;52;1001;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;21771,63575
230;104;5;2;1979;2;58;901;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;1;0;2;0;1;17664,14087
232;104;6;4;1979;2;70;901;1;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;2;1;0;2;0;1;35309,20825
236;104;7;4;1979;2;75;901;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;17572,71375
240;104;8;4;1979;1;38;1701;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;32945,34075
244;104;9;4;1979;2;75;501;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;37241,32142
248;105;1;4;1921;3;64;2001;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;2;1;0;0;1;1;42279,37197
252;105;2;1;1938;1;26;801;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;6113,52775
253;105;3;3;1937;1;33;801;1;0;1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;2;0;0;1;0;1;20910,34612
256;105;4;2;1935;1;38;1001;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;33699,71719
258;105;5;2;1935;1;25;601;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;21057,07494
260;105;6;5;1950;2;63;1501;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;28749,77629
